,1 Accurate Long Balls,1 Corners,1 Dribbles Attempted,1 Dribbles Succeeded,1 Fouls Conceded,1 Goals,1 Interceptions,1 Long Balls,1 Offsides,1 Pass Completion,1 Possession,1 Red Cards,1 Shots,1 Shots Blocked,1 Shots woodwork,1 Tackles Attempted,1 Throws,1 Total Passes,1 Total Shots on Target,1 Total xG,1 Yellow Cards,2 Accurate Long Balls,2 Corners,2 Dribbles Attempted,2 Dribbles Succeeded,2 Fouls Conceded,2 Goals,2 Interceptions,2 Long Balls,2 Offsides,2 Pass Completion,2 Possession,2 Red Cards,2 Shots,2 Shots Blocked,2 Shots woodwork,2 Tackles Attempted,2 Throws,2 Total Passes,2 Total Shots on Target,2 Total xG,2 Yellow Cards,winner,fh winner
365,18,3,13,11,8,4,6,24,1,0.895,0.669,0,9,2,0,5,5,362,5,1.015,1,15,1,2,1,8,1,1,35,0,0.721,0.331,0,5,0,0,5,14,179,2,0.544,1,1,1
366,26,2,10,6,7,3,0,37,6,0.858,0.713,0,10,2,1,5,10,352,5,2.691,1,11,2,1,1,5,1,5,34,2,0.613,0.287,1,3,2,0,7,7,142,1,0.21,1,1,1
367,11,1,13,9,5,3,5,18,2,0.866,0.55,0,10,0,0,3,10,335,6,2.157,1,9,1,8,6,5,0,5,27,0,0.799,0.45,0,1,1,0,11,13,274,0,0.013,1,1,1
368,15,3,2,1,11,0,8,42,0,0.724,0.438,0,8,3,0,12,19,210,1,0.193,3,20,3,13,11,7,1,2,41,4,0.789,0.562,0,7,1,0,5,20,270,3,1.183,1,2,2
369,16,0,4,3,6,1,3,26,4,0.69,0.267,0,6,0,0,10,5,155,3,0.375,1,15,4,8,7,8,2,2,26,2,0.878,0.733,0,7,1,2,2,11,425,3,1.486,0,1,2
370,16,1,10,7,13,0,4,28,2,0.817,0.403,0,4,2,0,9,9,268,1,0.19,0,23,1,12,8,3,0,18,37,1,0.887,0.597,0,3,0,0,10,8,397,1,0.111,0,2,0
371,16,1,11,4,8,1,12,36,3,0.751,0.322,0,6,1,0,16,7,181,2,0.234,1,15,2,24,14,1,0,4,29,2,0.848,0.678,0,5,2,0,8,20,381,2,0.733,0,2,1
372,25,2,14,8,5,1,5,34,1,0.907,0.695,0,11,2,1,10,13,429,5,1.077,1,18,0,7,6,12,0,1,39,0,0.718,0.305,0,2,0,0,8,14,188,0,0.045,0,1,1
373,14,2,13,10,1,2,6,19,4,0.898,0.66,0,6,1,0,4,6,421,2,0.81,0,15,3,9,7,11,1,9,37,1,0.756,0.34,0,5,2,0,8,9,217,1,0.273,0,1,1
374,12,2,12,7,15,1,0,28,0,0.873,0.663,0,2,0,0,9,11,385,1,0.423,1,21,1,13,5,14,1,0,31,0,0.776,0.337,0,5,0,1,5,7,196,1,0.683,0,0,0
375,9,0,7,4,10,1,3,23,0,0.784,0.313,0,3,0,0,15,9,194,2,0.447,1,14,3,12,8,4,2,2,26,3,0.901,0.687,0,6,1,0,7,20,426,4,0.458,0,2,2
376,24,1,10,10,7,2,9,36,1,0.826,0.534,0,6,0,1,11,14,310,2,0.933,0,9,2,9,4,13,0,14,22,0,0.789,0.466,0,4,0,0,9,12,270,3,0.113,1,1,1
377,32,0,14,8,9,1,2,37,3,0.908,0.705,0,10,0,0,18,16,445,5,1.111,0,10,0,9,5,6,0,7,27,0,0.715,0.295,0,3,1,0,13,8,186,0,0.046,0,1,1
378,15,1,9,6,9,0,4,27,1,0.837,0.374,0,3,1,0,8,7,264,1,0.17,0,9,2,15,9,5,1,5,19,1,0.918,0.626,0,6,1,0,12,6,441,2,1.041,0,2,2
379,18,1,6,5,11,1,12,37,1,0.71,0.444,0,4,1,0,15,8,259,2,1.141,1,13,0,11,9,7,0,4,23,1,0.787,0.556,0,6,1,1,13,13,324,1,0.46,1,0,1
380,18,5,8,7,5,0,5,26,0,0.882,0.687,0,8,4,0,7,11,408,2,0.706,0,8,0,7,5,10,1,14,22,1,0.742,0.313,0,1,0,0,13,11,186,1,0.124,1,1,2
381,13,1,18,11,12,1,5,34,0,0.602,0.235,0,3,0,0,5,10,118,3,1.005,1,31,1,10,10,6,0,5,38,2,0.899,0.765,0,7,0,0,5,7,385,2,0.845,0,2,1
382,19,2,12,3,10,1,8,37,1,0.605,0.319,0,6,2,0,16,11,152,3,1.06,1,13,4,15,6,2,0,3,35,3,0.79,0.681,0,10,1,1,9,17,324,6,1.038,1,2,1
383,15,0,14,5,8,0,4,30,0,0.64,0.246,0,1,0,0,15,8,139,1,0.068,0,24,3,13,7,5,1,2,36,2,0.899,0.754,0,7,2,1,10,14,426,4,0.843,2,2,2
384,20,4,21,16,5,2,2,28,1,0.847,0.665,0,11,3,1,9,14,354,5,2.394,0,14,0,6,4,9,1,9,41,3,0.652,0.335,0,1,0,0,16,10,178,1,0.232,1,1,1
385,32,6,12,7,6,0,2,38,3,0.88,0.718,0,7,4,0,10,8,433,2,0.462,0,12,2,3,0,1,0,8,32,0,0.647,0.282,0,3,0,0,10,16,170,2,0.136,1,0,0
386,11,1,6,3,17,1,5,29,2,0.648,0.274,1,7,2,0,11,8,122,5,1.326,2,21,5,13,10,7,2,3,35,1,0.846,0.726,0,8,3,0,3,13,324,4,0.985,2,2,2
387,22,3,16,7,8,2,1,28,1,0.879,0.704,0,17,3,0,12,14,348,7,2.774,0,15,1,5,2,10,0,3,41,1,0.678,0.296,0,1,1,0,14,4,146,0,0.022,2,1,1
388,10,1,17,6,14,0,9,24,1,0.669,0.215,0,2,0,0,20,6,133,1,0.055,3,40,1,37,20,4,1,6,44,0,0.914,0.785,0,5,0,0,13,10,487,2,0.82,2,2,2
389,13,0,11,3,12,0,1,23,3,0.69,0.247,0,0,0,0,13,6,145,0,0.0,2,10,5,16,9,4,1,4,19,0,0.894,0.753,0,10,3,1,9,7,442,3,1.175,0,2,2
390,25,5,27,16,7,1,7,31,0,0.877,0.73,0,9,1,0,8,9,456,4,1.356,0,14,2,12,7,11,0,12,25,1,0.68,0.27,0,2,0,0,17,4,169,1,0.336,1,1,1
391,17,3,22,13,5,3,4,29,4,0.806,0.593,0,9,2,0,14,12,253,5,1.077,0,12,2,8,2,14,0,9,38,1,0.661,0.407,0,4,0,0,16,13,174,1,0.302,2,1,1
392,14,2,3,1,4,0,10,37,3,0.704,0.253,0,4,0,0,9,8,159,3,0.738,0,23,1,13,9,7,1,3,29,1,0.909,0.747,0,6,1,0,5,15,470,2,0.595,0,2,2
393,17,0,8,4,17,1,12,30,1,0.75,0.384,0,3,0,0,13,12,216,3,0.661,1,14,1,3,3,5,1,5,27,0,0.833,0.616,0,7,0,0,12,12,347,4,0.775,0,0,0
394,26,2,11,7,10,3,6,32,0,0.918,0.727,0,6,0,1,9,5,497,3,1.346,0,9,0,9,5,17,0,7,24,0,0.765,0.273,0,2,1,1,4,7,187,0,0.049,0,1,1
395,14,1,14,6,11,0,7,34,4,0.672,0.347,0,1,0,0,12,15,174,0,0.055,2,22,5,15,5,4,1,3,36,1,0.866,0.653,0,9,4,1,10,10,328,3,0.539,1,2,2
396,14,0,19,13,3,0,3,26,4,0.871,0.771,0,4,0,0,9,13,388,1,0.546,1,12,3,9,5,12,1,9,38,2,0.591,0.229,0,8,1,0,14,5,115,4,0.94,1,2,2
397,25,3,10,9,3,2,1,37,4,0.886,0.732,0,10,3,0,6,10,466,3,0.446,0,8,1,6,4,7,0,2,31,1,0.713,0.268,0,1,0,0,11,8,171,0,0.032,1,1,1
398,16,2,13,8,2,2,7,23,1,0.909,0.801,0,8,4,0,13,9,482,2,1.917,0,12,0,8,2,8,0,5,28,0,0.6,0.199,0,2,0,0,10,17,120,2,0.055,1,1,1
399,14,1,8,4,8,2,14,36,1,0.73,0.395,0,3,0,0,9,15,204,1,1.26,2,25,1,12,8,2,1,4,29,5,0.814,0.605,0,4,0,0,12,12,312,3,0.405,0,0,1
400,15,2,11,6,5,3,2,20,0,0.9,0.747,0,8,1,0,5,9,411,5,1.007,1,4,1,2,1,8,0,6,20,1,0.669,0.253,0,3,0,0,10,13,139,2,0.254,3,1,1
401,13,0,16,8,5,0,5,29,2,0.747,0.27,0,3,1,0,6,12,166,1,0.091,0,28,3,1,1,8,2,2,40,4,0.882,0.73,0,4,0,0,16,9,449,3,2.232,0,0,2
402,20,4,20,15,4,2,5,33,1,0.862,0.739,0,9,1,0,7,14,399,3,2.335,0,9,4,5,2,10,0,3,29,2,0.631,0.261,0,1,1,0,9,11,141,0,0.015,0,1,1
